Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,519.12
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,715.33
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,540.83
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,605.03
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,675.33
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,3617.34
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,588.87
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,512.53
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,519.40
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Waverley Care Centre Limited,614.77
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,216179,Amethyst Healthcare Limited t/a Hillstone House,1816.95
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,216179,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,552.23
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,216179,Care 4 U (Neath) Limited,1754.28
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,216179,Crusader Medical Care Limited T/A St Saviours Nursing Home,551.35
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,216179,Leonard Cheshire Disability,1209.78
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,216179,Llysywaun Limited t/a Bayview Lodge Nursing Home,2665.53
